iterations,time,train_accuracy,train_precision,train_recall,train_specificity,train_auc,train_f1,test_accuracy,test_precision,test_recall,test_specificity,test_auc,test_f1
1,0.31096744537353516,0.997075,0.0,0.0,1.0,0.9296447182796004,0.0,0.9967,0.0,0.0,1.0,0.9141500284271429,0.0
2,0.5553326606750488,0.997075,0.0,0.0,1.0,0.9505267115715175,0.0,0.9967,0.0,0.0,1.0,0.9428511816266406,0.0
3,0.8001177310943604,0.997075,0.0,0.0,1.0,0.9665087689183169,0.0,0.9967,0.0,0.0,1.0,0.9531012948791618,0.0
4,1.0678164958953857,0.9974,0.90625,0.12393162393162394,0.9999623899907228,0.968427816962907,0.21804511278195488,0.99715,0.9090909090909091,0.15151515151515152,0.9999498344536972,0.9529291358452592,0.2597402597402597
5,1.330038070678711,0.9984375,0.9097744360902256,0.5170940170940171,0.9998495599628915,0.9712319056745253,0.659400544959128,0.9983,0.9444444444444444,0.5151515151515151,0.9998996689073945,0.956723095305417,0.6666666666666666
6,1.5784101486206055,0.9988625,0.9333333333333333,0.6581196581196581,0.9998620966326505,0.9710659019512415,0.7719298245614035,0.9987,0.9545454545454546,0.6363636363636364,0.9998996689073945,0.9604596684209408,0.7636363636363637
7,1.8233401775360107,0.9990875,0.9820359281437125,0.7008547008547008,0.9999623899907228,0.9710181929579919,0.8179551122194514,0.99885,0.9777777777777777,0.6666666666666666,0.9999498344536972,0.9634312169553466,0.7927927927927928
8,2.0724785327911377,0.999075,0.9395604395604396,0.7307692307692307,0.9998620966326505,0.9753439869310039,0.8221153846153846,0.9989,0.9583333333333334,0.696969696969697,0.9998996689073945,0.9631142619127971,0.8070175438596491
9,2.325852632522583,0.99915,0.9414893617021277,0.7564102564102564,0.9998620966326505,0.9760947405777284,0.8388625592417062,0.99905,0.9607843137254902,0.7424242424242424,0.9998996689073945,0.9644048846040418,0.8376068376068376
10,2.573171615600586,0.999325,0.9787234042553191,0.7863247863247863,0.9999498533209639,0.9765370064275614,0.8720379146919431,0.9991,0.98,0.7424242424242424,0.9999498344536972,0.96640314553177,0.8448275862068966
11,2.825153112411499,0.9993125,0.9786096256684492,0.782051282051282,0.9999498533209639,0.9767594519525167,0.8693586698337292,0.99905,0.9795918367346939,0.7272727272727273,0.9999498344536972,0.9682691518374271,0.8347826086956521
12,3.0735819339752197,0.9993375,0.9738219895287958,0.7948717948717948,0.9999373166512048,0.9773364602145034,0.8752941176470588,0.9991,0.98,0.7424242424242424,0.9999498344536972,0.9687255823003792,0.8448275862068966
13,3.3239076137542725,0.9994,0.9744897959183674,0.8162393162393162,0.9999373166512048,0.9777507060716699,0.8883720930232558,0.99915,0.9803921568627451,0.7575757575757576,0.9999498344536972,0.9701560604540438,0.8547008547008547
14,3.5734615325927734,0.9994375,0.9748743718592965,0.8290598290598291,0.9999373166512048,0.9793669453236186,0.8960739030023095,0.99915,0.9803921568627451,0.7575757575757576,0.9999498344536972,0.9693002058307567,0.8547008547008547
15,3.819122314453125,0.9994375,0.9748743718592965,0.8290598290598291,0.9999373166512048,0.9796892823903078,0.8960739030023095,0.99915,0.9803921568627451,0.7575757575757576,0.9999498344536972,0.9689118028889274,0.8547008547008547
16,4.078152418136597,0.9994625,0.9751243781094527,0.8376068376068376,0.9999373166512048,0.9801880436173243,0.9011494252873563,0.99915,0.9803921568627451,0.7575757575757576,0.9999498344536972,0.9706713974296999,0.8547008547008547
17,4.350928544998169,0.99945,0.975,0.8333333333333334,0.9999373166512048,0.9803618425775735,0.8986175115207373,0.9992,0.9807692307692307,0.7727272727272727,0.9999498344536972,0.9703802852443366,0.864406779661017
18,4.681295156478882,0.999475,0.9752475247524752,0.8418803418803419,0.9999373166512048,0.9822421287393832,0.9036697247706422,0.99915,0.9803921568627451,0.7575757575757576,0.9999498344536972,0.9700998142354619,0.8547008547008547
19,5.01497483253479,0.999475,0.9752475247524752,0.8418803418803419,0.9999373166512048,0.9835031087726471,0.9036697247706422,0.99915,0.9803921568627451,0.7575757575757576,0.9999498344536972,0.9739199965948235,0.8547008547008547
20,5.412434816360474,0.9994625,0.9704433497536946,0.8418803418803419,0.9999247799814457,0.9839578845044832,0.9016018306636155,0.99915,0.9803921568627451,0.7575757575757576,0.9999498344536972,0.9755640583622925,0.8547008547008547
21,5.73778223991394,0.999475,0.9752475247524752,0.8418803418803419,0.9999373166512048,0.9842678724157049,0.9036697247706422,0.9992,0.9807692307692307,0.7727272727272727,0.9999498344536972,0.9748982247477281,0.864406779661017
22,6.065098285675049,0.999475,0.9752475247524752,0.8418803418803419,0.9999373166512048,0.9841788834906203,0.9036697247706422,0.9992,0.9807692307692307,0.7727272727272727,0.9999498344536972,0.9750776045799624,0.864406779661017
23,6.385953903198242,0.999475,0.9752475247524752,0.8418803418803419,0.9999373166512048,0.9856666486652946,0.9036697247706422,0.9992,0.9807692307692307,0.7727272727272727,0.9999498344536972,0.9768881247510726,0.864406779661017
24,6.694809675216675,0.999475,0.9752475247524752,0.8418803418803419,0.9999373166512048,0.98698361510838,0.9036697247706422,0.9992,0.9807692307692307,0.7727272727272727,0.9999498344536972,0.9770462222303298,0.864406779661017
25,7.011794090270996,0.999475,0.9752475247524752,0.8418803418803419,0.9999373166512048,0.9891695495649562,0.9036697247706422,0.9992,0.9807692307692307,0.7727272727272727,0.9999498344536972,0.9820825390455168,0.864406779661017
26,7.335068702697754,0.999475,0.9752475247524752,0.8418803418803419,0.9999373166512048,0.9893656359381104,0.9036697247706422,0.9992,0.9807692307692307,0.7727272727272727,0.9999498344536972,0.9810389436656117,0.864406779661017
27,7.650264739990234,0.999475,0.9752475247524752,0.8418803418803419,0.9999373166512048,0.9893767796445629,0.9036697247706422,0.9992,0.9807692307692307,0.7727272727272727,0.9999498344536972,0.9814980344226858,0.864406779661017
28,7.971789121627808,0.999475,0.9752475247524752,0.8418803418803419,0.9999373166512048,0.9914345614769354,0.9036697247706422,0.9992,0.9807692307692307,0.7727272727272727,0.9999498344536972,0.9811537163548801,0.864406779661017
29,8.29668664932251,0.999475,0.9752475247524752,0.8418803418803419,0.9999373166512048,0.9927616804795051,0.9036697247706422,0.9992,0.9807692307692307,0.7727272727272727,0.9999498344536972,0.9856154096396897,0.864406779661017
30,8.651602268218994,0.999475,0.9752475247524752,0.8418803418803419,0.9999373166512048,0.9927982725540583,0.9036697247706422,0.9992,0.9807692307692307,0.7727272727272727,0.9999498344536972,0.9851958432524299,0.864406779661017
31,9.017755031585693,0.999475,0.9752475247524752,0.8418803418803419,0.9999373166512048,0.9934234987766567,0.9036697247706422,0.9992,0.9807692307692307,0.7727272727272727,0.9999498344536972,0.9867517352718516,0.864406779661017
32,9.336367130279541,0.9994875,0.9800995024875622,0.8418803418803419,0.9999498533209639,0.9938570853935796,0.9057471264367816,0.9992,0.9807692307692307,0.7727272727272727,0.9999498344536972,0.9882848247702266,0.864406779661017
33,9.650448560714722,0.9994625,0.9751243781094527,0.8376068376068376,0.9999373166512048,0.9943552840777222,0.9011494252873563,0.9992,0.9807692307692307,0.7727272727272727,0.9999498344536972,0.9872024651045419,0.864406779661017
34,9.983492136001587,0.9994875,0.9800995024875622,0.8418803418803419,0.9999498533209639,0.9945759080352767,0.9057471264367816,0.9992,0.9807692307692307,0.7727272727272727,0.9999498344536972,0.9861467083800786,0.864406779661017
35,10.300153255462646,0.9995125,0.9802955665024631,0.8504273504273504,0.9999498533209639,0.9955667335503355,0.9107551487414187,0.9992,0.9807692307692307,0.7727272727272727,0.9999498344536972,0.9850871512354407,0.864406779661017
36,10.617941617965698,0.9995,0.9754901960784313,0.8504273504273504,0.9999373166512048,0.9954121681988191,0.908675799086758,0.9992,0.9807692307692307,0.7727272727272727,0.9999498344536972,0.9842875428307354,0.864406779661017
37,10.930622339248657,0.9995125,0.9802955665024631,0.8504273504273504,0.9999498533209639,0.9954397060118796,0.9107551487414187,0.9992,0.9807692307692307,0.7727272727272727,0.9999498344536972,0.9843886340073759,0.864406779661017
38,11.281991004943848,0.9995125,0.9802955665024631,0.8504273504273504,0.9999498533209639,0.9955267662185396,0.9107551487414187,0.9992,0.9807692307692307,0.7727272727272727,0.9999498344536972,0.9834362487116576,0.864406779661017
39,11.60150933265686,0.9995125,0.9802955665024631,0.8504273504273504,0.9999498533209639,0.9965452902731944,0.9107551487414187,0.9992,0.9807692307692307,0.7727272727272727,0.9999498344536972,0.983078249131224,0.864406779661017
40,11.918440818786621,0.9995125,0.9802955665024631,0.8504273504273504,0.9999498533209639,0.9967271255602124,0.9107551487414187,0.9992,0.9807692307692307,0.7727272727272727,0.9999498344536972,0.9833100747618657,0.864406779661017
41,12.237554788589478,0.9995125,0.9802955665024631,0.8504273504273504,0.9999498533209639,0.9968274724937966,0.9107551487414187,0.9992,0.9807692307692307,0.7727272727272727,0.9999498344536972,0.98383757308208,0.864406779661017
42,12.553903102874756,0.9995125,0.9802955665024631,0.8504273504273504,0.9999498533209639,0.9968276332203319,0.9107551487414187,0.9992,0.9807692307692307,0.7727272727272727,0.9999498344536972,0.9839933903092326,0.864406779661017
43,12.864234447479248,0.9995125,0.9802955665024631,0.8504273504273504,0.9999498533209639,0.9967098742454157,0.9107551487414187,0.9992,0.9807692307692307,0.7727272727272727,0.9999498344536972,0.984178850813746,0.864406779661017
44,13.184747219085693,0.9995125,0.9802955665024631,0.8504273504273504,0.9999498533209639,0.9968283832774969,0.9107551487414187,0.9992,0.9807692307692307,0.7727272727272727,0.9999498344536972,0.983940944510825,0.864406779661017
45,13.509868860244751,0.9995125,0.9802955665024631,0.8504273504273504,0.9999498533209639,0.996864493172444,0.9107551487414187,0.9992,0.9807692307692307,0.7727272727272727,0.9999498344536972,0.983335917619052,0.864406779661017
46,13.834057569503784,0.9995125,0.9802955665024631,0.8504273504273504,0.9999498533209639,0.9968724759237008,0.9107551487414187,0.9992,0.9807692307692307,0.7727272727272727,0.9999498344536972,0.9835297390479492,0.864406779661017
47,14.171880960464478,0.999525,0.9803921568627451,0.8547008547008547,0.9999498533209639,0.9969164078433692,0.91324200913242,0.9992,0.9807692307692307,0.7727272727272727,0.9999498344536972,0.9836787155187877,0.864406779661017
48,14.488322973251343,0.999525,0.9803921568627451,0.8547008547008547,0.9999498533209639,0.9970158439932529,0.91324200913242,0.9992,0.9807692307692307,0.7727272727272727,0.9999498344536972,0.9836133482917871,0.864406779661017
49,14.81137752532959,0.999525,0.9803921568627451,0.8547008547008547,0.9999498533209639,0.9970559184760724,0.91324200913242,0.9992,0.9807692307692307,0.7727272727272727,0.9999498344536972,0.9832895524929236,0.864406779661017
50,15.120127439498901,0.9995375,0.9804878048780488,0.8589743589743589,0.9999498533209639,0.9972298781628571,0.9157175398633257,0.9992,0.9807692307692307,0.7727272727272727,0.9999498344536972,0.9830881302236775,0.864406779661017
51,15.471088409423828,0.9995375,0.9804878048780488,0.8589743589743589,0.9999498533209639,0.997195589835311,0.9157175398633257,0.9992,0.9807692307692307,0.7727272727272727,0.9999498344536972,0.9832409071146906,0.864406779661017
