epoch,time,train_accuracy,train_precision,train_recall,train_specificity,train_auc,train_f1,val_accuracy,val_precision,val_recall,val_specificity,val_auc,val_f1
35,4887.120334,0.998984375,0.88,0.777777778,0.999670857,0.960059357,0.825737265,0.9993125,0.942857143,0.785714286,0.999874671,0.955013607,0.857142857
36,5026.075091,0.998984375,0.88,0.777777778,0.999670857,0.960059357,0.825737265,0.9993125,0.942857143,0.785714286,0.999874671,0.955013607,0.857142857
37,5165.029849,0.998984375,0.88,0.777777778,0.999670857,0.960059357,0.825737265,0.9993125,0.942857143,0.785714286,0.999874671,0.955013607,0.857142857
38,5303.984606,0.998984375,0.88,0.777777778,0.999670857,0.960059357,0.825737265,0.9993125,0.942857143,0.785714286,0.999874671,0.955013607,0.857142857
39,5442.939363,0.998984375,0.88,0.777777778,0.999670857,0.960059357,0.825737265,0.9993125,0.942857143,0.785714286,0.999874671,0.955013607,0.857142857
40,5581.894121,0.998984375,0.88,0.777777778,0.999670857,0.960059357,0.825737265,0.9993125,0.942857143,0.785714286,0.999874671,0.955013607,0.857142857
41,5720.848878,0.998984375,0.88,0.777777778,0.999670857,0.960059357,0.825737265,0.9993125,0.942857143,0.785714286,0.999874671,0.955013607,0.857142857
42,5859.803636,0.998984375,0.88,0.777777778,0.999670857,0.960059357,0.825737265,0.9993125,0.942857143,0.785714286,0.999874671,0.955013607,0.857142857
43,5998.758393,0.998984375,0.88,0.777777778,0.999670857,0.960059357,0.825737265,0.9993125,0.942857143,0.785714286,0.999874671,0.955013607,0.857142857
44,6137.71315,0.998984375,0.88,0.777777778,0.999670857,0.960059357,0.825737265,0.9993125,0.942857143,0.785714286,0.999874671,0.955013607,0.857142857
45,6276.667908,0.998984375,0.88,0.777777778,0.999670857,0.960059357,0.825737265,0.9993125,0.942857143,0.785714286,0.999874671,0.955013607,0.857142857
46,6415.622665,0.998984375,0.88,0.777777778,0.999670857,0.960059357,0.825737265,0.9993125,0.942857143,0.785714286,0.999874671,0.955013607,0.857142857
47,6554.577423,0.998984375,0.88,0.777777778,0.999670857,0.960059357,0.825737265,0.9993125,0.942857143,0.785714286,0.999874671,0.955013607,0.857142857
48,6693.53218,0.998984375,0.88,0.777777778,0.999670857,0.960059357,0.825737265,0.9993125,0.942857143,0.785714286,0.999874671,0.955013607,0.857142857
49,6832.486937,0.998984375,0.88,0.777777778,0.999670857,0.960059357,0.825737265,0.9993125,0.942857143,0.785714286,0.999874671,0.955013607,0.857142857
50,6971.441695,0.998984375,0.88,0.777777778,0.999670857,0.960059357,0.825737265,0.9993125,0.942857143,0.785714286,0.999874671,0.955013607,0.857142857
51,7110.396452,0.998984375,0.88,0.777777778,0.999670857,0.960059357,0.825737265,0.9993125,0.942857143,0.785714286,0.999874671,0.955013607,0.857142857
52,7249.35121,0.998984375,0.88,0.777777778,0.999670857,0.960059357,0.825737265,0.9993125,0.942857143,0.785714286,0.999874671,0.955013607,0.857142857
53,7388.305967,0.998984375,0.88,0.777777778,0.999670857,0.960059357,0.825737265,0.9993125,0.942857143,0.785714286,0.999874671,0.955013607,0.857142857
54,7527.260724,0.998984375,0.88,0.777777778,0.999670857,0.960059357,0.825737265,0.9993125,0.942857143,0.785714286,0.999874671,0.955013607,0.857142857
55,7666.215482,0.998984375,0.88,0.777777778,0.999670857,0.960059357,0.825737265,0.9993125,0.942857143,0.785714286,0.999874671,0.955013607,0.857142857
56,7805.170239,0.998984375,0.88,0.777777778,0.999670857,0.960059357,0.825737265,0.9993125,0.942857143,0.785714286,0.999874671,0.955013607,0.857142857
57,7944.124997,0.998984375,0.88,0.777777778,0.999670857,0.960059357,0.825737265,0.9993125,0.942857143,0.785714286,0.999874671,0.955013607,0.857142857
58,8083.079754,0.998984375,0.88,0.777777778,0.999670857,0.960059357,0.825737265,0.9993125,0.942857143,0.785714286,0.999874671,0.955013607,0.857142857
59,8222.034511,0.998984375,0.88,0.777777778,0.999670857,0.960059357,0.825737265,0.9993125,0.942857143,0.785714286,0.999874671,0.955013607,0.857142857
60,8360.989269,0.998984375,0.88,0.777777778,0.999670857,0.960059357,0.825737265,0.9993125,0.942857143,0.785714286,0.999874671,0.955013607,0.857142857
61,8499.944026,0.998984375,0.88,0.777777778,0.999670857,0.960059357,0.825737265,0.9993125,0.942857143,0.785714286,0.999874671,0.955013607,0.857142857
