epoch,time,train_accuracy,train_precision,train_recall,train_specificity,train_auc,train_f1,test_accuracy,test_precision,test_recall,test_specificity,test_auc,test_f1
1,0.1357421875,0.997,0.0,0.0,1.0,0.9121621113340019,0.0,0.997,0.0,0.0,1.0,0.9664460046807087,0.0
2,0.5024981498718262,0.997,0.0,0.0,1.0,0.9121703391424272,0.0,0.997,0.0,0.0,1.0,0.9664380641925777,0.0
3,0.8752050399780273,0.997,0.0,0.0,1.0,0.9121776527499164,0.0,0.997,0.0,0.0,1.0,0.966434720829154,0.0
4,1.2209882736206055,0.997,0.0,0.0,1.0,0.9121816752340354,0.0,0.997,0.0,0.0,1.0,0.9664447509194249,0.0
5,1.5919978618621826,0.997,0.0,0.0,1.0,0.9493532158976932,0.0,0.997,0.0,0.0,1.0,0.9651061517886994,0.0
6,1.9617538452148438,0.99885,1.0,0.6166666666666667,1.0,0.9493606339852892,0.7628865979381443,0.99865,1.0,0.55,1.0,0.9651195252423939,0.7096774193548387
7,2.312324047088623,0.998925,0.9935897435897436,0.6458333333333334,0.9999874623871615,0.9493740596790372,0.7828282828282829,0.9987,0.9722222222222222,0.5833333333333334,0.999949849548646,0.9651057338682715,0.7291666666666666
8,2.6661570072174072,0.9991,0.9827586206896551,0.7125,0.9999623871614844,0.9569300871364093,0.8260869565217391,0.999,0.9761904761904762,0.6833333333333333,0.999949849548646,0.97334419926446,0.803921568627451
9,3.3431732654571533,0.99915,0.9831460674157303,0.7291666666666666,0.9999623871614844,0.9569283109745905,0.8373205741626795,0.99905,0.9767441860465116,0.7,0.999949849548646,0.9733128552323638,0.8155339805825242
10,3.815347671508789,0.999225,0.973404255319149,0.7625,0.9999373119358074,0.957113188523905,0.8551401869158879,0.99915,0.9574468085106383,0.75,0.9998996990972919,0.9733320795720495,0.8411214953271028
11,4.291637182235718,0.9992625,0.9788359788359788,0.7708333333333334,0.999949849548646,0.9571087742393849,0.8624708624708625,0.99905,0.9555555555555556,0.7166666666666667,0.9998996990972919,0.9733170344366433,0.819047619047619
12,4.8850789070129395,0.9992625,0.9788359788359788,0.7708333333333334,0.999949849548646,0.9572014480942829,0.8624708624708625,0.9993,0.9791666666666666,0.7833333333333333,0.999949849548646,0.9732877800066867,0.8703703703703703
13,5.383612871170044,0.999275,0.9789473684210527,0.775,0.999949849548646,0.9673154620110331,0.8651162790697674,0.99935,0.9795918367346939,0.8,0.999949849548646,0.9814414075560014,0.8807339449541285
14,5.847681760787964,0.999275,0.9789473684210527,0.775,0.999949849548646,0.9715256968823135,0.8651162790697674,0.99935,0.9607843137254902,0.8166666666666667,0.9998996990972919,0.9813699431628218,0.8828828828828829
15,6.327259540557861,0.9992875,0.9841269841269841,0.775,0.9999623871614844,0.9716005829989969,0.8671328671328671,0.99935,0.9607843137254902,0.8166666666666667,0.9998996990972919,0.9816921598127717,0.8828828828828829
16,6.895428657531738,0.9993125,0.9894179894179894,0.7791666666666667,0.9999749247743229,0.9715907357489134,0.8717948717948718,0.99935,0.9607843137254902,0.8166666666666667,0.9998996990972919,0.9816637412236711,0.8828828828828829
17,7.3816657066345215,0.9993375,0.9895287958115183,0.7875,0.9999749247743229,0.971608627967235,0.877030162412993,0.99935,0.9607843137254902,0.8166666666666667,0.9998996990972919,0.9815906051487797,0.8828828828828829
18,7.95888090133667,0.999375,0.9896907216494846,0.8,0.9999749247743229,0.9734722135155466,0.8847926267281107,0.99935,0.9607843137254902,0.8166666666666667,0.9998996990972919,0.9814422433968573,0.8828828828828829
19,8.529478788375854,0.9993875,0.9897435897435898,0.8041666666666667,0.9999749247743229,0.9739917669675694,0.8873563218390804,0.99935,0.9607843137254902,0.8166666666666667,0.9998996990972919,0.9814242728184553,0.8828828828828829
20,9.033151626586914,0.9994,0.9897959183673469,0.8083333333333333,0.9999749247743229,0.9738935817870278,0.8899082568807339,0.99935,0.9607843137254902,0.8166666666666667,0.9998996990972919,0.9813197927114677,0.8828828828828829
21,9.609886169433594,0.9994,0.9897959183673469,0.8083333333333333,0.9999749247743229,0.980808597668004,0.8899082568807339,0.99935,0.9607843137254902,0.8166666666666667,0.9998996990972919,0.9878472918756269,0.8828828828828829
22,10.18908429145813,0.9994125,0.9898477157360406,0.8125,0.9999749247743229,0.9807830522818455,0.8924485125858124,0.99935,0.9607843137254902,0.8166666666666667,0.9998996990972919,0.987871531260448,0.8828828828828829
23,10.686460256576538,0.9994125,0.9898477157360406,0.8125,0.9999749247743229,0.9809706463139417,0.8924485125858124,0.99935,0.9607843137254902,0.8166666666666667,0.9998996990972919,0.987897442326981,0.8828828828828829
24,11.264198064804077,0.99945,0.9949494949494949,0.8208333333333333,0.9999874623871615,0.9810633724088932,0.8995433789954338,0.99935,0.9607843137254902,0.8166666666666667,0.9998996990972919,0.987888248077566,0.8828828828828829
25,11.785555601119995,0.99945,0.9949494949494949,0.8208333333333333,0.9999874623871615,0.9811044330909395,0.8995433789954338,0.99935,0.9607843137254902,0.8166666666666667,0.9998996990972919,0.9878790538281512,0.8828828828828829
26,12.283898115158081,0.99945,0.9949494949494949,0.8208333333333333,0.9999874623871615,0.9811000188064193,0.8995433789954338,0.99935,0.9607843137254902,0.8166666666666667,0.9998996990972919,0.9879016215312606,0.8828828828828829
27,12.79913067817688,0.9994375,0.9899497487437185,0.8208333333333333,0.9999749247743229,0.9812110289200935,0.89749430523918,0.99935,0.9607843137254902,0.8166666666666667,0.9998996990972919,0.9878615011701772,0.8828828828828829
28,13.36435055732727,0.999475,0.995,0.8291666666666667,0.9999874623871615,0.9833704498913407,0.9045454545454545,0.99935,0.9607843137254902,0.8166666666666667,0.9998996990972919,0.9877411400869275,0.8828828828828829
