Epoch,Time,Train_Accuracy,Train_Precision,Train_Recall,Train_Specificity,Train_AUC,Train_F1-Score,Test_Accuracy,Test_Precision,Test_Recall,Test_Specificity,Test_AUC,Test_F1-Score
49,3678.337834,1,1,1,1,1,1,0.9992,0.980769231,0.772727273,0.999949834,0.975928139,0.86440678
50,3678.337834,1,1,1,1,1,1,0.9992,0.980769231,0.772727273,0.999949834,0.975928139,0.86440678
51,3678.337834,1,1,1,1,1,1,0.9992,0.980769231,0.772727273,0.999949834,0.975928139,0.86440678
52,3678.337834,1,1,1,1,1,1,0.9992,0.980769231,0.772727273,0.999949834,0.975928139,0.86440678
53,3678.337834,1,1,1,1,1,1,0.9992,0.980769231,0.772727273,0.999949834,0.975928139,0.86440678
54,3678.337834,1,1,1,1,1,1,0.9992,0.980769231,0.772727273,0.999949834,0.975928139,0.86440678
55,3678.337834,1,1,1,1,1,1,0.9992,0.980769231,0.772727273,0.999949834,0.975928139,0.86440678
56,3678.337834,1,1,1,1,1,1,0.9992,0.980769231,0.772727273,0.999949834,0.975928139,0.86440678
57,3678.337834,1,1,1,1,1,1,0.9992,0.980769231,0.772727273,0.999949834,0.975928139,0.86440678
58,3678.337834,1,1,1,1,1,1,0.9992,0.980769231,0.772727273,0.999949834,0.975928139,0.86440678
59,3678.337834,1,1,1,1,1,1,0.9992,0.980769231,0.772727273,0.999949834,0.975928139,0.86440678
60,3678.337834,1,1,1,1,1,1,0.9992,0.980769231,0.772727273,0.999949834,0.975928139,0.86440678
61,3678.337834,1,1,1,1,1,1,0.9992,0.980769231,0.772727273,0.999949834,0.975928139,0.86440678
62,3678.337834,1,1,1,1,1,1,0.9992,0.980769231,0.772727273,0.999949834,0.975928139,0.86440678
63,3678.337834,1,1,1,1,1,1,0.9992,0.980769231,0.772727273,0.999949834,0.975928139,0.86440678
64,3678.337834,1,1,1,1,1,1,0.9992,0.980769231,0.772727273,0.999949834,0.975928139,0.86440678
65,3678.337834,1,1,1,1,1,1,0.9992,0.980769231,0.772727273,0.999949834,0.975928139,0.86440678
66,3678.337834,1,1,1,1,1,1,0.9992,0.980769231,0.772727273,0.999949834,0.975928139,0.86440678
67,3678.337834,1,1,1,1,1,1,0.9992,0.980769231,0.772727273,0.999949834,0.975928139,0.86440678
68,3678.337834,1,1,1,1,1,1,0.9992,0.980769231,0.772727273,0.999949834,0.975928139,0.86440678
69,3678.337834,1,1,1,1,1,1,0.9992,0.980769231,0.772727273,0.999949834,0.975928139,0.86440678
70,3678.337834,1,1,1,1,1,1,0.9992,0.980769231,0.772727273,0.999949834,0.975928139,0.86440678
71,3678.337834,1,1,1,1,1,1,0.9992,0.980769231,0.772727273,0.999949834,0.975928139,0.86440678
72,3678.337834,1,1,1,1,1,1,0.9992,0.980769231,0.772727273,0.999949834,0.975928139,0.86440678
73,3678.337834,1,1,1,1,1,1,0.9992,0.980769231,0.772727273,0.999949834,0.975928139,0.86440678
74,3678.337834,1,1,1,1,1,1,0.9992,0.980769231,0.772727273,0.999949834,0.975928139,0.86440678
75,3678.337834,1,1,1,1,1,1,0.9992,0.980769231,0.772727273,0.999949834,0.975928139,0.86440678
76,3678.337834,1,1,1,1,1,1,0.9992,0.980769231,0.772727273,0.999949834,0.975928139,0.86440678
77,3678.337834,1,1,1,1,1,1,0.9992,0.980769231,0.772727273,0.999949834,0.975928139,0.86440678
78,3678.337834,1,1,1,1,1,1,0.9992,0.980769231,0.772727273,0.999949834,0.975928139,0.86440678
79,3678.337834,1,1,1,1,1,1,0.9992,0.980769231,0.772727273,0.999949834,0.975928139,0.86440678
80,3678.337834,1,1,1,1,1,1,0.9992,0.980769231,0.772727273,0.999949834,0.975928139,0.86440678
81,3678.337834,1,1,1,1,1,1,0.9992,0.980769231,0.772727273,0.999949834,0.975928139,0.86440678
82,3678.337834,1,1,1,1,1,1,0.9992,0.980769231,0.772727273,0.999949834,0.975928139,0.86440678
83,3678.337834,1,1,1,1,1,1,0.9992,0.980769231,0.772727273,0.999949834,0.975928139,0.86440678
84,3678.337834,1,1,1,1,1,1,0.9992,0.980769231,0.772727273,0.999949834,0.975928139,0.86440678
85,3678.337834,1,1,1,1,1,1,0.9992,0.980769231,0.772727273,0.999949834,0.975928139,0.86440678
86,3678.337834,1,1,1,1,1,1,0.9992,0.980769231,0.772727273,0.999949834,0.975928139,0.86440678
87,3678.337834,1,1,1,1,1,1,0.9992,0.980769231,0.772727273,0.999949834,0.975928139,0.86440678
88,3678.337834,1,1,1,1,1,1,0.9992,0.980769231,0.772727273,0.999949834,0.975928139,0.86440678
89,3678.337834,1,1,1,1,1,1,0.9992,0.980769231,0.772727273,0.999949834,0.975928139,0.86440678
90,3678.337834,1,1,1,1,1,1,0.9992,0.980769231,0.772727273,0.999949834,0.975928139,0.86440678
91,3678.337834,1,1,1,1,1,1,0.9992,0.980769231,0.772727273,0.999949834,0.975928139,0.86440678
92,3678.337834,1,1,1,1,1,1,0.9992,0.980769231,0.772727273,0.999949834,0.975928139,0.86440678
93,3678.337834,1,1,1,1,1,1,0.9992,0.980769231,0.772727273,0.999949834,0.975928139,0.86440678
94,3678.337834,1,1,1,1,1,1,0.9992,0.980769231,0.772727273,0.999949834,0.975928139,0.86440678
95,3678.337834,1,1,1,1,1,1,0.9992,0.980769231,0.772727273,0.999949834,0.975928139,0.86440678
96,3678.337834,1,1,1,1,1,1,0.9992,0.980769231,0.772727273,0.999949834,0.975928139,0.86440678
97,3678.337834,1,1,1,1,1,1,0.9992,0.980769231,0.772727273,0.999949834,0.975928139,0.86440678
98,3678.337834,1,1,1,1,1,1,0.9992,0.980769231,0.772727273,0.999949834,0.975928139,0.86440678
99,3678.337834,1,1,1,1,1,1,0.9992,0.980769231,0.772727273,0.999949834,0.975928139,0.86440678
100,3678.337834,1,1,1,1,1,1,0.9992,0.980769231,0.772727273,0.999949834,0.975928139,0.86440678
