iteration,time,train_accuracy,train_precision,train_recall,train_specificity,train_auc,train_f1,test_accuracy,test_precision,test_recall,test_specificity,test_auc,test_f1
1,2.6648459434509277,0.999425,0.98989898989899,0.8166666666666667,0.9999749247743229,0.9921209722918757,0.8949771689497716,0.99925,0.9591836734693877,0.7833333333333333,0.9998996990972919,0.9961275493146106,0.8623853211009175
2,2.810830593109131,0.999425,0.98989898989899,0.8166666666666667,0.9999749247743229,0.9921209722918757,0.8949771689497716,0.99925,0.9591836734693877,0.7833333333333333,0.9998996990972919,0.9961275493146106,0.8623853211009175
3,2.9754638671875,0.999425,0.98989898989899,0.8166666666666667,0.9999749247743229,0.9921209722918757,0.8949771689497716,0.99925,0.9591836734693877,0.7833333333333333,0.9998996990972919,0.9961275493146106,0.8623853211009175
4,3.154000997543335,0.999425,0.98989898989899,0.8166666666666667,0.9999749247743229,0.9921209722918757,0.8949771689497716,0.99925,0.9591836734693877,0.7833333333333333,0.9998996990972919,0.9961275493146106,0.8623853211009175
5,3.345219373703003,0.999425,0.98989898989899,0.8166666666666667,0.9999749247743229,0.9921209722918757,0.8949771689497716,0.99925,0.9591836734693877,0.7833333333333333,0.9998996990972919,0.9961275493146106,0.8623853211009175
6,3.5317444801330566,0.999425,0.98989898989899,0.8166666666666667,0.9999749247743229,0.9921209722918757,0.8949771689497716,0.99925,0.9591836734693877,0.7833333333333333,0.9998996990972919,0.9961275493146106,0.8623853211009175
7,3.7299671173095703,0.999425,0.98989898989899,0.8166666666666667,0.9999749247743229,0.9921209722918757,0.8949771689497716,0.99925,0.9591836734693877,0.7833333333333333,0.9998996990972919,0.9961275493146106,0.8623853211009175
8,3.9463624954223633,0.999425,0.98989898989899,0.8166666666666667,0.9999749247743229,0.9921209722918757,0.8949771689497716,0.99925,0.9591836734693877,0.7833333333333333,0.9998996990972919,0.9961275493146106,0.8623853211009175
9,4.227501153945923,0.999425,0.98989898989899,0.8166666666666667,0.9999749247743229,0.9921209722918757,0.8949771689497716,0.99925,0.9591836734693877,0.7833333333333333,0.9998996990972919,0.9961275493146106,0.8623853211009175
10,4.426212310791016,0.999425,0.98989898989899,0.8166666666666667,0.9999749247743229,0.9921209722918757,0.8949771689497716,0.99925,0.9591836734693877,0.7833333333333333,0.9998996990972919,0.9961275493146106,0.8623853211009175
11,4.608213901519775,0.999425,0.98989898989899,0.8166666666666667,0.9999749247743229,0.9921209722918757,0.8949771689497716,0.99925,0.9591836734693877,0.7833333333333333,0.9998996990972919,0.9961275493146106,0.8623853211009175
12,4.792514085769653,0.999425,0.98989898989899,0.8166666666666667,0.9999749247743229,0.9921209722918757,0.8949771689497716,0.99925,0.9591836734693877,0.7833333333333333,0.9998996990972919,0.9961275493146106,0.8623853211009175
13,4.9789879322052,0.999425,0.98989898989899,0.8166666666666667,0.9999749247743229,0.9921209722918757,0.8949771689497716,0.99925,0.9591836734693877,0.7833333333333333,0.9998996990972919,0.9961275493146106,0.8623853211009175
14,5.163609743118286,0.999425,0.98989898989899,0.8166666666666667,0.9999749247743229,0.9921209722918757,0.8949771689497716,0.99925,0.9591836734693877,0.7833333333333333,0.9998996990972919,0.9961275493146106,0.8623853211009175
15,5.345034837722778,0.999425,0.98989898989899,0.8166666666666667,0.9999749247743229,0.9921209722918757,0.8949771689497716,0.99925,0.9591836734693877,0.7833333333333333,0.9998996990972919,0.9961275493146106,0.8623853211009175
16,5.534093141555786,0.999425,0.98989898989899,0.8166666666666667,0.9999749247743229,0.9921209722918757,0.8949771689497716,0.99925,0.9591836734693877,0.7833333333333333,0.9998996990972919,0.9961275493146106,0.8623853211009175
17,5.7271788120269775,0.999425,0.98989898989899,0.8166666666666667,0.9999749247743229,0.9921209722918757,0.8949771689497716,0.99925,0.9591836734693877,0.7833333333333333,0.9998996990972919,0.9961275493146106,0.8623853211009175
18,5.916228294372559,0.999425,0.98989898989899,0.8166666666666667,0.9999749247743229,0.9921209722918757,0.8949771689497716,0.99925,0.9591836734693877,0.7833333333333333,0.9998996990972919,0.9961275493146106,0.8623853211009175
19,6.101338624954224,0.999425,0.98989898989899,0.8166666666666667,0.9999749247743229,0.9921209722918757,0.8949771689497716,0.99925,0.9591836734693877,0.7833333333333333,0.9998996990972919,0.9961275493146106,0.8623853211009175
20,6.284444332122803,0.999425,0.98989898989899,0.8166666666666667,0.9999749247743229,0.9921209722918757,0.8949771689497716,0.99925,0.9591836734693877,0.7833333333333333,0.9998996990972919,0.9961275493146106,0.8623853211009175
21,6.471768140792847,0.999425,0.98989898989899,0.8166666666666667,0.9999749247743229,0.9921209722918757,0.8949771689497716,0.99925,0.9591836734693877,0.7833333333333333,0.9998996990972919,0.9961275493146106,0.8623853211009175
22,6.663067817687988,0.999425,0.98989898989899,0.8166666666666667,0.9999749247743229,0.9921209722918757,0.8949771689497716,0.99925,0.9591836734693877,0.7833333333333333,0.9998996990972919,0.9961275493146106,0.8623853211009175
23,6.914333820343018,0.999425,0.98989898989899,0.8166666666666667,0.9999749247743229,0.9921209722918757,0.8949771689497716,0.99925,0.9591836734693877,0.7833333333333333,0.9998996990972919,0.9961275493146106,0.8623853211009175
24,7.107650995254517,0.999425,0.98989898989899,0.8166666666666667,0.9999749247743229,0.9921209722918757,0.8949771689497716,0.99925,0.9591836734693877,0.7833333333333333,0.9998996990972919,0.9961275493146106,0.8623853211009175
25,7.284053087234497,0.999425,0.98989898989899,0.8166666666666667,0.9999749247743229,0.9921209722918757,0.8949771689497716,0.99925,0.9591836734693877,0.7833333333333333,0.9998996990972919,0.9961275493146106,0.8623853211009175
26,7.472488641738892,0.999425,0.98989898989899,0.8166666666666667,0.9999749247743229,0.9921209722918757,0.8949771689497716,0.99925,0.9591836734693877,0.7833333333333333,0.9998996990972919,0.9961275493146106,0.8623853211009175
27,7.669101238250732,0.999425,0.98989898989899,0.8166666666666667,0.9999749247743229,0.9921209722918757,0.8949771689497716,0.99925,0.9591836734693877,0.7833333333333333,0.9998996990972919,0.9961275493146106,0.8623853211009175
28,7.853611707687378,0.999425,0.98989898989899,0.8166666666666667,0.9999749247743229,0.9921209722918757,0.8949771689497716,0.99925,0.9591836734693877,0.7833333333333333,0.9998996990972919,0.9961275493146106,0.8623853211009175
29,8.034343481063843,0.999425,0.98989898989899,0.8166666666666667,0.9999749247743229,0.9921209722918757,0.8949771689497716,0.99925,0.9591836734693877,0.7833333333333333,0.9998996990972919,0.9961275493146106,0.8623853211009175
