Iteration,Time,Train_Accuracy,Train_Precision,Train_Recall,Train_Specificity,Train_AUC,Train_F1-Score,Test_Accuracy,Test_Precision,Test_Recall,Test_Specificity,Test_AUC,Test_F1-Score
1,0.3332183361053467,0.9988875,0.7695167286245354,0.8846153846153846,0.9992227264749391,0.9780437105456538,0.8230616302186878,0.99895,0.8688524590163934,0.803030303030303,0.9995986756295776,0.8578901283325884,0.8346456692913385
2,0.7132730484008789,0.99715,0.5441176470588235,0.1581196581196581,0.9996113632374696,0.26456870855800235,0.24503311258278146,0.9969,0.7,0.10606060606060606,0.9998495033610916,0.2114800812377817,0.18421052631578946
3,1.1132850646972656,0.99865,0.7480314960629921,0.811965811965812,0.9991976531354211,0.9216917550073283,0.7786885245901639,0.9985,0.7903225806451613,0.7424242424242424,0.9993478478980636,0.8653256504039086,0.765625
4,1.5793733596801758,0.998175,0.6447368421052632,0.8376068376068376,0.9986460396660232,0.9561069493653551,0.7286245353159851,0.9982,0.7083333333333334,0.7727272727272727,0.9989465235276412,0.8719729653310473,0.7391304347826086
5,2.044050693511963,0.9985875,0.7449392712550608,0.7863247863247863,0.9992101898051802,0.9052329023933468,0.7650727650727651,0.99865,0.8305084745762712,0.7424242424242424,0.9994983445369721,0.8290833234522408,0.784
6,2.521317958831787,0.9986375,0.751004016064257,0.7991452991452992,0.9992227264749391,0.9227969374523042,0.7743271221532091,0.99865,0.8305084745762712,0.7424242424242424,0.9994983445369721,0.8147720812012977,0.784
7,3.015143871307373,0.9980625,0.6321070234113713,0.8076923076923077,0.998620966326505,0.9268479158375857,0.7091932457786116,0.9977,0.625,0.7575757575757576,0.9984950336109161,0.8297533375289972,0.684931506849315
8,3.6555941104888916,0.998225,0.676923076923077,0.7521367521367521,0.9989469197402402,0.8759749135880571,0.7125506072874493,0.99795,0.6811594202898551,0.7121212121212122,0.9988963579813385,0.7848661948064978,0.6962962962962963
9,4.345101356506348,0.9969125,0.4462809917355372,0.23076923076923078,0.9991600431261439,0.3891552663335127,0.30422535211267604,0.99655,0.45454545454545453,0.22727272727272727,0.9990970201665497,0.3016522706750458,0.30303030303030304
10,5.046425819396973,0.9979625,0.628158844765343,0.7435897435897436,0.9987087230148184,0.8884191388015072,0.6810176125244618,0.99785,0.676923076923077,0.6666666666666666,0.9989465235276412,0.7411986069179808,0.6717557251908397
11,5.771875381469727,0.9982625,0.7251184834123223,0.6538461538461539,0.9992728731539754,0.7904815495580985,0.6876404494382022,0.9977,0.6851851851851852,0.5606060606060606,0.9991471857128524,0.6367649607340587,0.6166666666666667
12,6.513428211212158,0.997875,0.6126760563380281,0.7435897435897436,0.998620966326505,0.8628380105826636,0.6718146718146718,0.99675,0.5058823529411764,0.6515151515151515,0.9978930470552825,0.7277405589962027,0.5695364238410596
13,7.2750327587127686,0.9980875,0.6551724137931034,0.7307692307692307,0.9988716997216859,0.8460367836605832,0.6909090909090909,0.99725,0.5873015873015873,0.5606060606060606,0.9986956957961273,0.6624873446008192,0.5736434108527132
14,8.114872932434082,0.9978125,0.5954692556634305,0.7863247863247863,0.9984329162801193,0.9098092690350045,0.6777163904235728,0.99685,0.5180722891566265,0.6515151515151515,0.997993378147888,0.7391338386371997,0.5771812080536913
15,8.952532052993774,0.997825,0.6086956521739131,0.717948717948718,0.9986460396660232,0.8438838785070264,0.6588235294117647,0.9969,0.527027027027027,0.5909090909090909,0.998244205879402,0.6830115137529604,0.5571428571428572
16,9.799047231674194,0.9981375,0.6763485477178424,0.6965811965811965,0.9990221397587945,0.8185979781459058,0.6863157894736842,0.9972,0.5806451612903226,0.5454545454545454,0.9986956957961273,0.6358380382535093,0.5625
17,10.71626329421997,0.998125,0.6666666666666666,0.717948717948718,0.9989469197402402,0.8443004281111994,0.691358024691358,0.99735,0.5970149253731343,0.6060606060606061,0.9986455302498244,0.7051436406809136,0.6015037593984962
18,11.688722848892212,0.9981375,0.6940639269406392,0.6495726495726496,0.9991600431261439,0.765246358418888,0.6710816777041942,0.997,0.5517241379310345,0.48484848484848486,0.9986956957961273,0.6040627251748953,0.5161290322580645
19,12.656943082809448,0.9980375,0.6305084745762712,0.7948717948717948,0.9986335029962641,0.901326497526633,0.7032136105860114,0.99705,0.5443037974683544,0.6515151515151515,0.9981940403330992,0.7693175357467521,0.593103448275862
20,13.736787796020508,0.9978625,0.6307053941908713,0.6495726495726496,0.998884236391445,0.7608554434112942,0.64,0.99675,0.5072463768115942,0.5303030303030303,0.9982943714257049,0.6485451231488153,0.5185185185185185
21,14.768619537353516,0.9982625,0.6892430278884463,0.7393162393162394,0.9990221397587945,0.8546832283574756,0.7134020618556701,0.99695,0.5352112676056338,0.5757575757575758,0.9983445369720076,0.6989485757545355,0.5547445255474452
22,15.829490184783936,0.99815,0.6557971014492754,0.7735042735042735,0.9988090163728907,0.8972202827886955,0.7098039215686275,0.997,0.5394736842105263,0.6212121212121212,0.998244205879402,0.7405399941017479,0.5774647887323944
23,16.880171537399292,0.9978625,0.6067796610169491,0.7649572649572649,0.9985457463079508,0.8845576570014301,0.6767485822306238,0.9964,0.4642857142857143,0.5909090909090909,0.997742550416374,0.7252558442861443,0.52
24,18.121225595474243,0.9979125,0.6167247386759582,0.7564102564102564,0.998620966326505,0.8845659879935135,0.6794625719769674,0.99675,0.5063291139240507,0.6060606060606061,0.9980435436941908,0.7260862360942626,0.5517241379310345
25,19.29242467880249,0.998075,0.644927536231884,0.7606837606837606,0.9987714063636136,0.8804505046920361,0.6980392156862745,0.9969,0.5263157894736842,0.6060606060606061,0.9981940403330992,0.7420746037681927,0.5633802816901409
26,20.49179983139038,0.9978375,0.5993485342019544,0.7863247863247863,0.9984579896196374,0.9101291416281512,0.6802218114602587,0.9967,0.5,0.6515151515151515,0.9978428815089796,0.785221154050792,0.5657894736842105
27,21.690836191177368,0.9981875,0.6692015209125475,0.7521367521367521,0.998909309730963,0.8764415830835107,0.7082494969818913,0.99675,0.5068493150684932,0.5606060606060606,0.9981940403330992,0.6993761230241615,0.5323741007194245
28,22.961959838867188,0.9981875,0.6679245283018868,0.7564102564102564,0.9988967730612041,0.8807034882587123,0.7094188376753507,0.99695,0.5324675324675324,0.6212121212121212,0.9981940403330992,0.7577593178701836,0.5734265734265734
29,24.29544472694397,0.9980625,0.6376306620209059,0.782051282051282,0.9986961863450593,0.893312002779069,0.7024952015355086,0.99645,0.46987951807228917,0.5909090909090909,0.9977927159626768,0.7290467634101626,0.5234899328859061
30,25.639009952545166,0.9985375,0.7577092511013216,0.7350427350427351,0.9993104831632525,0.847373117651181,0.7462039045553145,0.9968,0.5138888888888888,0.5606060606060606,0.998244205879402,0.7001966337398263,0.5362318840579711
31,27.004951238632202,0.998375,0.7,0.7777777777777778,0.9990221397587945,0.8936832542880233,0.7368421052631579,0.99705,0.5492957746478874,0.5909090909090909,0.9983947025183104,0.7305505896731943,0.5693430656934306
32,28.39719867706299,0.9979875,0.6280701754385964,0.7649572649572649,0.9986711130055412,0.8724184639643607,0.6897880539499036,0.99665,0.49382716049382713,0.6060606060606061,0.9979432126015852,0.7454622983117014,0.54421768707483
33,29.84023427963257,0.998175,0.6617647058823529,0.7692307692307693,0.9988466263821678,0.8766620731022857,0.7114624505928854,0.99685,0.5194805194805194,0.6060606060606061,0.9981438747867964,0.7450005472605051,0.5594405594405595
34,31.318506717681885,0.99805,0.65,0.7222222222222222,0.9988591630519269,0.8262468736010095,0.6842105263157895,0.9965,0.47368421052631576,0.5454545454545454,0.997993378147888,0.6712625147836344,0.5070422535211268
35,32.862775802612305,0.9983625,0.7191489361702128,0.7222222222222222,0.999172579795903,0.8264886063102095,0.720682302771855,0.99685,0.5217391304347826,0.5454545454545454,0.9983445369720076,0.6570367819866164,0.5333333333333333
36,34.42232656478882,0.998275,0.692,0.7393162393162394,0.9990346764285535,0.8481215943386542,0.7148760330578512,0.9968,0.5142857142857142,0.5454545454545454,0.9982943714257049,0.6565423473219199,0.5294117647058824
37,36.09743881225586,0.9985375,0.7447698744769874,0.7606837606837606,0.9992352631446982,0.8829406676923163,0.7526427061310782,0.99695,0.5362318840579711,0.5606060606060606,0.9983947025183104,0.6763041521870659,0.5481481481481482
38,37.703712701797485,0.9986125,0.7374517374517374,0.8162393162393162,0.999147506456385,0.9191195143229844,0.7748478701825557,0.99695,0.5324675324675324,0.6212121212121212,0.9981940403330992,0.7354147474544785,0.5734265734265734
39,39.40428185462952,0.9988,0.7875,0.8076923076923077,0.9993606298422887,0.9114071318864088,0.7974683544303798,0.99695,0.5324675324675324,0.6212121212121212,0.9981940403330992,0.7360726001866766,0.5734265734265734
40,41.07346534729004,0.9988875,0.8138528138528138,0.8034188034188035,0.9994609232003611,0.9115099165057794,0.8086021505376344,0.99715,0.5616438356164384,0.6212121212121212,0.9983947025183104,0.7367809985071949,0.5899280575539568
41,42.84849166870117,0.9987,0.7642276422764228,0.8034188034188035,0.9992728731539754,0.9116074775127505,0.7833333333333333,0.99735,0.5942028985507246,0.6212121212121212,0.9985953647035216,0.7364838056495526,0.6074074074074074
