iteration,time,train_accuracy,train_precision,train_recall,train_specificity,train_auc,train_f1,test_accuracy,test_precision,test_recall,test_specificity,test_auc,test_f1
67,14.66250062,0.9979625,1,0.320833333,1,0.999428651,0.485804416,0.99785,1,0.283333333,1,0.99660565,0.441558442
68,14.9123795,0.9980375,1,0.345833333,1,0.999422121,0.513931889,0.99795,1,0.316666667,1,0.996560515,0.481012658
69,15.16425538,0.99815,1,0.383333333,1,0.999419561,0.554216867,0.99795,1,0.316666667,1,0.996534604,0.481012658
70,15.41213608,0.9982375,1,0.4125,1,0.999534071,0.584070796,0.99805,1,0.35,1,0.996493648,0.518518519
71,15.66400218,0.99835,1,0.45,1,0.999530728,0.620689655,0.9981,1,0.366666667,1,0.99648111,0.536585366
72,15.9288671,0.9983625,1,0.454166667,1,0.99952869,0.624641834,0.9981,1,0.366666667,1,0.996450184,0.536585366
73,16.18750954,0.998475,1,0.491666667,1,0.999524145,0.659217877,0.9981,1,0.366666667,1,0.996410899,0.536585366
74,16.44536233,0.9985125,1,0.504166667,1,0.999520175,0.670360111,0.99805,0.956521739,0.366666667,0.99994985,0.996378302,0.530120482
75,16.70723248,0.9985375,1,0.5125,1,0.999516727,0.67768595,0.99805,0.956521739,0.366666667,0.99994985,0.996379973,0.530120482
76,16.98558259,0.99865,1,0.55,1,0.999523362,0.709677419,0.99805,0.956521739,0.366666667,0.99994985,0.99643096,0.530120482
77,17.26140618,0.9986875,1,0.5625,1,0.999520332,0.72,0.99825,0.962962963,0.433333333,0.99994985,0.996384152,0.597701149
78,17.54110694,0.9988,1,0.6,1,0.99951563,0.75,0.99845,0.967741935,0.5,0.99994985,0.996350719,0.659340659
79,17.80497503,0.9988375,1,0.6125,1,0.999522108,0.759689922,0.9985,0.96875,0.516666667,0.99994985,0.996339853,0.673913043
80,18.08083749,0.9989,1,0.633333333,1,0.99952263,0.775510204,0.99865,0.971428571,0.566666667,0.99994985,0.996324808,0.715789474
81,18.35770226,0.998925,1,0.641666667,1,0.999514115,0.781725888,0.99865,0.971428571,0.566666667,0.99994985,0.996324808,0.715789474
82,18.62056899,0.99895,1,0.65,1,0.999509048,0.787878788,0.99865,0.971428571,0.566666667,0.99994985,0.996308927,0.715789474
83,18.88333082,0.999,1,0.666666667,1,0.999559355,0.8,0.9987,0.972222222,0.583333333,0.99994985,0.996250418,0.729166667
84,19.1472218,0.9990625,1,0.6875,1,0.999555751,0.814814815,0.99875,0.972972973,0.6,0.99994985,0.996211969,0.742268041
85,19.415411,0.999075,1,0.691666667,1,0.99955596,0.81773399,0.9988,0.973684211,0.616666667,0.99994985,0.996185222,0.755102041
86,19.69953752,0.9991,1,0.7,1,0.999552094,0.823529412,0.9988,0.973684211,0.616666667,0.99994985,0.996164326,0.755102041
