epoch,time,train_accuracy,test_accuracy,train_precision,test_precision,train_recall,test_recall,train_specificity,test_specificity,train_auc,test_auc,train_f1,test_f1
38,487.8804617,0.9995375,0.9993,0.947136564,0.910714286,0.895833333,0.85,0.999849549,0.999749248,0.954813085,0.982167753,0.920770878,0.879310345
39,501.4987543,0.9993375,0.99905,0.943127962,0.886792453,0.829166667,0.783333333,0.999849549,0.999699097,0.960107823,0.981941658,0.88248337,0.831858407
40,513.7450392,0.9995125,0.99925,0.938864629,0.894736842,0.895833333,0.85,0.999824473,0.999699097,0.964596472,0.988809763,0.91684435,0.871794872
41,524.4210527,0.99955,0.99935,0.947368421,0.912280702,0.9,0.866666667,0.999849549,0.999749248,0.962533773,0.98826563,0.923076923,0.888888889
42,533.8910646,0.9995375,0.99915,0.951111111,0.905660377,0.891666667,0.8,0.999862086,0.999749248,0.951460632,0.97426446,0.920430108,0.849557522
43,544.3237407,0.99955,0.9993,0.951327434,0.910714286,0.895833333,0.85,0.999862086,0.999749248,0.955115085,0.973889585,0.922746781,0.879310345
44,558.1600549,0.9995625,0.9993,0.95154185,0.910714286,0.9,0.85,0.999862086,0.999749248,0.956592225,0.98172225,0.925053533,0.879310345
45,572.311362,0.9994625,0.99915,0.945701357,0.905660377,0.870833333,0.8,0.999849549,0.999749248,0.93416732,0.924511033,0.906724512,0.849557522
46,584.9404902,0.9995375,0.9992,0.951111111,0.907407407,0.891666667,0.816666667,0.999862086,0.999749248,0.953033293,0.974001588,0.920430108,0.859649123
47,597.27595,0.9995375,0.99895,0.951111111,0.897959184,0.891666667,0.733333333,0.999862086,0.999749248,0.949770509,0.957976847,0.920430108,0.80733945
48,610.1379073,0.999525,0.99905,0.950892857,0.901960784,0.8875,0.766666667,0.999862086,0.999749248,0.951587654,0.974291625,0.918103448,0.828828829
49,623.8059967,0.9995625,0.9992,0.95154185,0.907407407,0.9,0.816666667,0.999862086,0.999749248,0.959841582,0.981652039,0.925053533,0.859649123
50,635.9570019,0.9995375,0.99925,0.947136564,0.909090909,0.895833333,0.833333333,0.999849549,0.999749248,0.955127335,0.974078903,0.920770878,0.869565217
51,648.2868731,0.9995625,0.99925,0.95154185,0.894736842,0.9,0.85,0.999862086,0.999699097,0.95630924,0.981639084,0.925053533,0.871794872
52,662.6012087,0.9995,0.99895,0.95045045,0.897959184,0.879166667,0.733333333,0.999862086,0.999749248,0.949856967,0.958061685,0.913419913,0.80733945
53,676.0626485,0.9995375,0.99925,0.947136564,0.894736842,0.895833333,0.85,0.999849549,0.999699097,0.956517704,0.981735624,0.920770878,0.871794872
54,689.7570729,0.99955,0.99915,0.951327434,0.890909091,0.895833333,0.816666667,0.999862086,0.999699097,0.949425333,0.974279923,0.922746781,0.852173913
55,703.3380609,0.9995625,0.9993,0.95154185,0.910714286,0.9,0.85,0.999862086,0.999749248,0.958219241,0.98188106,0.925053533,0.879310345
56,717.2869489,0.99955,0.99925,0.951327434,0.909090909,0.895833333,0.833333333,0.999862086,0.999749248,0.953199364,0.974189234,0.922746781,0.869565217
57,730.5858452,0.9995625,0.9992,0.95154185,0.907407407,0.9,0.816666667,0.999862086,0.999749248,0.951560828,0.974424524,0.925053533,0.859649123
58,744.2112339,0.9995625,0.9992,0.95154185,0.892857143,0.9,0.833333333,0.999862086,0.999699097,0.959622331,0.981224925,0.925053533,0.862068966
59,759.0659966,0.9995625,0.9991,0.95154185,0.903846154,0.9,0.783333333,0.999862086,0.999749248,0.960924701,0.980957038,0.925053533,0.839285714
60,771.262532,0.9995,0.9991,0.95045045,0.903846154,0.879166667,0.783333333,0.999862086,0.999749248,0.949671097,0.957910398,0.913419913,0.839285714
61,784.9589534,0.9995625,0.9992,0.95154185,0.907407407,0.9,0.816666667,0.999862086,0.999749248,0.951429836,0.965891424,0.925053533,0.859649123
62,799.0488303,0.9995625,0.9993,0.95154185,0.910714286,0.9,0.85,0.999862086,0.999749248,0.954676556,0.981764042,0.925053533,0.879310345
63,810.8130326,0.9995625,0.9993,0.95154185,0.910714286,0.9,0.85,0.999862086,0.999749248,0.951264862,0.965814109,0.925053533,0.879310345
