epoch,train_accuracy,test_accuracy,train_precision,test_precision,train_recall,test_recall,train_specificity,test_specificity,train_auc,test_auc,train_f1,test_f1,training_time
53,1,0.9992,1,0.962962963,1,0.787878788,1,0.999899669,1,0.893664624,1,0.866666667,14361.03064
54,1,0.9992,1,0.962962963,1,0.787878788,1,0.999899669,1,0.893664624,1,0.866666667,14632.2198
55,1,0.9992,1,0.962962963,1,0.787878788,1,0.999899669,1,0.893664624,1,0.866666667,14903.40896
56,1,0.9992,1,0.962962963,1,0.787878788,1,0.999899669,1,0.893664624,1,0.866666667,15174.59812
57,1,0.9992,1,0.962962963,1,0.787878788,1,0.999899669,1,0.893664624,1,0.866666667,15445.78728
58,1,0.9992,1,0.962962963,1,0.787878788,1,0.999899669,1,0.893664624,1,0.866666667,15716.97644
59,1,0.9992,1,0.962962963,1,0.787878788,1,0.999899669,1,0.893664624,1,0.866666667,15988.16559
60,1,0.9992,1,0.962962963,1,0.787878788,1,0.999899669,1,0.893664624,1,0.866666667,16259.35475
61,1,0.9992,1,0.962962963,1,0.787878788,1,0.999899669,1,0.893664624,1,0.866666667,16530.54391
62,1,0.9992,1,0.962962963,1,0.787878788,1,0.999899669,1,0.893664624,1,0.866666667,16801.73307
63,1,0.9992,1,0.962962963,1,0.787878788,1,0.999899669,1,0.893664624,1,0.866666667,17072.92223
64,1,0.9992,1,0.962962963,1,0.787878788,1,0.999899669,1,0.893664624,1,0.866666667,17344.11139
65,1,0.9992,1,0.962962963,1,0.787878788,1,0.999899669,1,0.893664624,1,0.866666667,17615.30055
66,1,0.9992,1,0.962962963,1,0.787878788,1,0.999899669,1,0.893664624,1,0.866666667,17886.48971
67,1,0.9992,1,0.962962963,1,0.787878788,1,0.999899669,1,0.893664624,1,0.866666667,18157.67886
68,1,0.9992,1,0.962962963,1,0.787878788,1,0.999899669,1,0.893664624,1,0.866666667,18428.86802
69,1,0.9992,1,0.962962963,1,0.787878788,1,0.999899669,1,0.893664624,1,0.866666667,18700.05718
70,1,0.9992,1,0.962962963,1,0.787878788,1,0.999899669,1,0.893664624,1,0.866666667,18971.24634
71,1,0.9992,1,0.962962963,1,0.787878788,1,0.999899669,1,0.893664624,1,0.866666667,19242.4355
72,1,0.9992,1,0.962962963,1,0.787878788,1,0.999899669,1,0.893664624,1,0.866666667,19513.62466
73,1,0.9992,1,0.962962963,1,0.787878788,1,0.999899669,1,0.893664624,1,0.866666667,19784.81382
74,1,0.9992,1,0.962962963,1,0.787878788,1,0.999899669,1,0.893664624,1,0.866666667,20056.00298
75,1,0.9992,1,0.962962963,1,0.787878788,1,0.999899669,1,0.893664624,1,0.866666667,20327.19213
76,1,0.9992,1,0.962962963,1,0.787878788,1,0.999899669,1,0.893664624,1,0.866666667,20598.38129
77,1,0.9992,1,0.962962963,1,0.787878788,1,0.999899669,1,0.893664624,1,0.866666667,20869.57045
78,1,0.9992,1,0.962962963,1,0.787878788,1,0.999899669,1,0.893664624,1,0.866666667,21140.75961
79,1,0.9992,1,0.962962963,1,0.787878788,1,0.999899669,1,0.893664624,1,0.866666667,21411.94877
80,1,0.9992,1,0.962962963,1,0.787878788,1,0.999899669,1,0.893664624,1,0.866666667,21683.13793
81,1,0.9992,1,0.962962963,1,0.787878788,1,0.999899669,1,0.893664624,1,0.866666667,21954.32709
82,1,0.9992,1,0.962962963,1,0.787878788,1,0.999899669,1,0.893664624,1,0.866666667,22225.51625
83,1,0.9992,1,0.962962963,1,0.787878788,1,0.999899669,1,0.893664624,1,0.866666667,22496.7054
84,1,0.9992,1,0.962962963,1,0.787878788,1,0.999899669,1,0.893664624,1,0.866666667,22767.89456
85,1,0.9992,1,0.962962963,1,0.787878788,1,0.999899669,1,0.893664624,1,0.866666667,23039.08372
86,1,0.9992,1,0.962962963,1,0.787878788,1,0.999899669,1,0.893664624,1,0.866666667,23310.27288
87,1,0.9992,1,0.962962963,1,0.787878788,1,0.999899669,1,0.893664624,1,0.866666667,23581.46204
88,1,0.9992,1,0.962962963,1,0.787878788,1,0.999899669,1,0.893664624,1,0.866666667,23852.6512
89,1,0.9992,1,0.962962963,1,0.787878788,1,0.999899669,1,0.893664624,1,0.866666667,24123.84036
90,1,0.9992,1,0.962962963,1,0.787878788,1,0.999899669,1,0.893664624,1,0.866666667,24395.02952
91,1,0.9992,1,0.962962963,1,0.787878788,1,0.999899669,1,0.893664624,1,0.866666667,24666.21868
92,1,0.9992,1,0.962962963,1,0.787878788,1,0.999899669,1,0.893664624,1,0.866666667,24937.40783
93,1,0.9992,1,0.962962963,1,0.787878788,1,0.999899669,1,0.893664624,1,0.866666667,25208.59699
94,1,0.9992,1,0.962962963,1,0.787878788,1,0.999899669,1,0.893664624,1,0.866666667,25479.78615
95,1,0.9992,1,0.962962963,1,0.787878788,1,0.999899669,1,0.893664624,1,0.866666667,25750.97531
96,1,0.9992,1,0.962962963,1,0.787878788,1,0.999899669,1,0.893664624,1,0.866666667,26022.16447
97,1,0.9992,1,0.962962963,1,0.787878788,1,0.999899669,1,0.893664624,1,0.866666667,26293.35363
98,1,0.9992,1,0.962962963,1,0.787878788,1,0.999899669,1,0.893664624,1,0.866666667,26564.54279
99,1,0.9992,1,0.962962963,1,0.787878788,1,0.999899669,1,0.893664624,1,0.866666667,26835.73195
100,1,0.9992,1,0.962962963,1,0.787878788,1,0.999899669,1,0.893664624,1,0.866666667,27106.9211
